GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectSearchCriteria,326,0,0,0,13,0,13,0,13,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectHistoryQueryService,17,0,0,0,7,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.query,ProjectHistoryView,24,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.config,DevDataConfig,29,0,0,0,7,0,3,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.config,SecurityConfig,126,0,0,0,27,0,7,0,7,0
Unit-Test Coverage,de.mirkosertic.powerstaff.config,AuditingConfig,0,25,1,5,0,7,1,5,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.api,PartnerController,845,0,54,0,152,0,52,0,25,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ContentToken,0,6,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService,702,102,57,13,155,26,44,8,14,3
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,MockLLmService,35,16,2,0,4,2,2,2,1,2
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.StreamError,6,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchConfig,164,0,10,0,40,0,10,0,5,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,PersistentUserMessage,4,0,0,0,2,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchProperties,0,24,0,0,0,9,0,5,0,5
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService.new ChatProgressCollector() {...},35,0,2,0,9,0,4,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchChat,45,0,0,0,13,0,13,0,13,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService.StreamingChatProgressCollector,0,66,0,2,0,18,0,7,0,6
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,PersistentAssistantMessage,11,0,0,0,4,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ToolResult,0,9,0,0,0,1,0,1,0,1
